filename,shirt_color,person_present,distance,room,lighting,clip_id,usable,notes
frame_0001.jpg,white,1,close,bedroom_01,daylight_window,clip01,1,"close range, entering"
frame_0002.jpg,white,1,close,bedroom_01,daylight_window,clip01,1,"close range, entering"
frame_0003.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0004.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0005.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0006.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0007.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0008.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0009.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0010.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0011.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0012.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0013.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0014.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0015.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0016.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0017.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0018.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0019.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0020.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0021.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0022.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0023.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0024.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0025.jpg,white,1,close,bedroom_01,daylight_window,clip01,1,
frame_0026.jpg,white,1,close,bedroom_01,daylight_window,clip01,1,
frame_0027.jpg,white,1,close,bedroom_01,daylight_window,clip01,1,
frame_0028.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0029.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0030.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0031.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
frame_0032.jpg,white,1,mid,bedroom_01,daylight_window,clip01,1,
